alaS	alaS	-
rpiR	rpiB	-
rpiR	alsC	-
rpiR	alsA	-
rpiR	alsB	-
rpiR	rpiR	-
rpiR	alsE	-
arsR	arsR	-
arsR	arsC	-
arsR	arsB	-
bglJ	bglG	+
bglJ	bglF	+
bglJ	bglB	+
cadC	cadB	+
cadC	cadA	+
cadC	cadC	+
evgA	mdtF	+
evgA	emrY	+
evgA	ydeO	+
evgA	yneN	+
evgA	ydeP	+
evgA	yegR	+
evgA	emrK	+
evgA	frc	+
evgA	yfdX	+
evgA	mdtE	+
evgA	evgS	+
evgA	evgA	+
evgA	acrD	+
evgA	gadE	+
gadE	purA	+
gadE	hdeA	+
gadE	hdeB	+
gadE	yhiD	+
gadE	gadB	+
gadE	hdeD	+
gadE	gadE	+
gadE	mdtE	+
gadE	mdtF	+
gadE	gadW	+
gadE	gadX	+
gadE	gadA	+
gadE	gadC	+
gadE	cadA	+
gadE	cadB	+
gadE	fliC	+
gadE	gnd	+
gadW	slp	+
gadW	mdtE	+
gadW	mdtF	+
gadW	gadW	-
gadW	gadX	-
gadW	gadA	-
gadW	gadY	+
gadW	gadC	-
gadW	hdeA	-
gadW	hdeB	+
gadW	yhiD	-
gadW	gadB	-
gadW	gadE	+
gadW	dctR	+
gadX	gadE	+
gadX	hns	+
gadX	gadB	+
gadX	yhiD	+
gadX	hdeB	-
gadX	hdeA	-
gadX	lon	+
gadX	gadC	+
gadX	hdeD	+
gadX	cadB	+
gadX	cadA	+
gadX	asnB	+
gadX	dctR	+
gadX	slp	+
gadX	mdtE	+
gadX	mdtF	+
gadX	ybaT	+
gadX	ybaS	+
gadX	gadY	+
gadX	gadA	+
gadX	gadX	+
gadX	gadW	-
hns	yciG	-
hns	chiA	-
hns	mukE	+
hns	gspB	-
hns	gspO	-
hns	hdeA	-
hns	hdeB	-
hns	yhiD	-
hns	hdeD	-
hns	stpA	-
hns	mukF	+
hns	smtA	+
hns	gadW	-
hns	gadX	-
hns	cadB	-
hns	fliC	+
hns	hns	-
hns	ilvH	-
hns	leuO	-
hns	mukB	+
hns	proV	-
hns	proW	-
hns	proX	-
hns	cspD	+
hns	yciE	-
hns	yciF	-
hns	micF	-
hns	gadA	-
hns	hchA	-
hns	yjjP	-
hns	yjjQ	-
hns	bglJ	-
hns	bglB	-
hns	bglF	-
hns	bglG	-
hns	cadA	-
leuO	bglB	+
leuO	bglJ	+
leuO	bglF	+
leuO	bglG	+
leuO	cadC	-
leuO	leuO	+
leuO	leuA	+
leuO	leuL	+
leuO	leuD	+
leuO	leuC	+
leuO	leuB	+
leuO	yjjQ	+
marA	pqiB	+
marA	pqiA	+
marA	ybaO	+
marA	nfsB	+
marA	micF	+
marA	slp	-
marA	dctR	-
marA	marA	+
marA	inaA	+
marA	rfaY	+
marA	rfaZ	+
marA	yhiD	-
marA	hdeB	-
marA	hdeA	-
marA	rob	-
marA	zwf	+
marA	fpr	+
marA	nfo	+
marA	poxB	+
marA	purA	-
marA	tolC	+
marA	ygiA	+
marA	ygiB	+
marA	ygiC	+
nemR	nemA	-
nemR	nemR	-
rob	nfo	+
rob	tolC	+
rob	ygiA	+
rob	ygiB	+
rob	ygiC	+
rob	zwf	+
rob	inaA	+
rob	marA	+
rob	micF	+
rutR	nemR	-
rutR	gmr	-
rutR	rutR	-
rutR	gadX	-
rutR	gadW	-
rutR	nemA	-
soxS	inaA	+
soxS	rfaY	+
soxS	rfaZ	+
soxS	marA	+
soxS	micF	+
soxS	pqiA	+
soxS	pqiB	+
soxS	zwf	+
soxS	ygiC	+
soxS	ygiB	+
soxS	ygiA	+
soxS	tolC	+
soxS	soxS	-
soxS	poxB	+
soxS	nfo	+
soxS	fpr	+
stpA	bglB	-
stpA	bglF	-
stpA	bglG	-
stpA	stpA	-
torR	gadA	-
torR	torR	-
torR	gadX	-
torR	yhiD	+
torR	hdeB	+
torR	hdeA	+
ydeO	mdtF	+
ydeO	mdtE	+
ydeO	gadE	+
