ydbD	nsrR	thrS	wzxE	rpmI	rffH	dkgB	wzyE	infC	rfe
-0.3389834170229733	-0.24709645239636302	0.0	0.0	-0.19294682587496936	0.0	0.0	0.0	0.0	-0.9448615200817585
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.16041153413243592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.5646934830583632	0.0	0.0	-0.7793870661407709	0.0	0.0	-0.5025407921057194	0.0	-0.1150049758143723	-0.8766062848735601
-0.6270819283090532	0.0	0.0	0.0	-0.5330534998793155	-0.3535804918501526	0.0	0.0	0.0	0.0
0.0	-0.36283705453388393	-0.3362242258153856	0.0	0.0	0.0	-0.9099514780100435	-0.07860357849858701	0.0	0.0
-0.2623060825280845	0.0	-0.2201717363204807	0.0	0.0	0.0	0.0	0.0	-0.33733905176632106	0.0
0.0	-0.4010597576852888	-0.6331536576617509	-0.44928617565892637	0.0	0.0	0.0	0.0	0.0	0.0
-0.134892248082906	0.0	0.0	-0.04479492292739451	-0.28726092679426074	0.0	0.0	0.0	-0.3794312905520201	-0.25586607260629535
0.0	0.0	-0.31527835386805236	0.0	0.0	0.0	-0.005667459685355425	0.0	-0.6471069934777915	0.0
