hokD	relE	relB	alaS	argH	argR	argF	artM	artQ	artP
0.0	0.0	-0.12519517657347023	0.0	0.0	-0.47761069354601204	-0.6981044302228838	-0.29069804958999157	0.0	-0.38139916746877134
0.0	-0.8197413089219481	-0.9678281545639038	-0.6594279475975782	0.0	-0.6413201903924346	0.0	0.0	0.0	0.0
0.0	0.0	-0.013669195119291544	-0.7001219866797328	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	-0.08235253882594407	0.0	-0.6314451082143933	0.0	-0.2410981748253107	0.0	0.0
0.0	0.0	-0.761974515626207	0.0	0.0	0.0	-0.1031781043857336	0.0	0.0	0.0
-0.67368362727575	0.0	0.0	0.0	-0.8314578500576317	-0.13438592641614377	-0.8631589857395738	0.0	0.0	-0.09084679931402206
-0.8095508215483278	0.0	0.0	0.0	0.0	0.0	0.0	-0.639703681692481	0.0	0.0
0.0	-0.7505724581424147	-0.23098424822092056	-0.38165969494730234	0.0	-0.8311487324535847	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	-0.6061156243085861	-0.653632913948968	0.0	0.0	0.0	0.0
0.0	-0.11136885010637343	-0.072390052722767	0.0	-0.8769472215790302	0.0	-0.42998037626966834	0.0	0.0	0.0
