ynfE	narL	hybF	hybG	hybC	dcuS	ynfF	dmsD	torD	hybD
-0.9948030305095017	-0.18062993930652738	0.0	0.0	-0.6218222661409527	-0.7412752772215754	0.0	0.0	0.0	-0.7431454739999026
0.0	0.0	-0.8636519578285515	0.0	-0.3220136766321957	0.0	-0.6989624463021755	0.0	0.0	-0.41815869486890733
0.0	0.0	0.0	0.0	-0.04561743978410959	0.0	-0.5546551540028304	-0.4946082108654082	0.0	0.0
0.0	0.0	-0.8606664007529616	0.0	-0.769399646203965	0.0	0.0	0.0	-0.7939824576023966	0.0
-0.3435906113591045	0.0	0.0	-0.43718519317917526	0.0	-0.5959102127235383	0.0	0.0	0.0	-0.5632728864438832
0.0	0.0	0.0	0.0	0.0	0.0	-0.561205058125779	0.0	0.0	0.0
0.0	0.0	-0.404875262407586	0.0	0.0	0.0	-0.10521626751869917	0.0	-0.9370811758562922	0.0
0.0	0.0	0.0	0.0	0.0	0.0	-0.42919124686159194	-0.5333903827704489	0.0	-0.08448137855157256
0.0	0.0	0.0	-0.16123269777745008	0.0	-0.7508700066246092	0.0	0.0	0.0	0.0
-0.8562526684254408	-0.8270465906243771	-0.9464000873267651	-0.552926555974409	-0.2316279774531722	-0.957880720961839	-0.13535262667573988	0.0	0.0	0.0
