znuB	zur	ykgM	znuC	znuA	ykgO	zinT	soxS	ybjN	fldA	ribA	ybjC	rimK	pgi	fldB	nfsA	rfaZ	marA	rfaY	poxB
-0.8131469150539488	0.0	0.0	0.0	0.0	-0.4895900823175907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8093738791693871	0.0
0.0	0.0	0.0	0.0	0.0	0.0	-0.28298696456477046	0.0	0.0	0.0	0.6310657433412494	0.0	0.0	0.7386453129259202	0.0	0.0	0.0	0.0	0.2535180887834107	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03784400328620255	0.9288980154032345	0.530869314744276	0.0	0.07848445200983795	0.17647319388587807	0.0	0.0	0.35901149818451455	0.021655081221160916	0.0	0.0
-0.6511370379012078	-0.9399131217505783	0.0	0.0	0.0	0.0	0.0	0.0	0.48259532322733584	0.20231257459991525	0.0	0.0	0.07298489744466158	0.0	0.0	0.0	0.0	0.0	0.0	0.009497928678524416
0.0	-0.8656896168831736	-0.28118096804246306	0.0	0.0	-0.18926616106182337	0.0	-0.7659760755486786	0.02055463159083307	0.0	0.656279024033946	0.16354135340450499	0.0	0.0	0.0	0.0	0.05159464399108046	0.6072068378881341	0.48129433888689926	0.0
-0.2877519065514207	0.0	0.0	-0.5845944662578404	0.0	-0.6791157030966133	-0.08219700842164457	-0.298563645221293	0.0	0.0	0.0	0.511225399658067	0.09981177878257247	0.24689182624232803	0.0	0.0	0.0	0.5538926621985412	0.43356965488502136	0.0
-0.7605379172600806	0.0	0.0	-0.4029787403997034	0.0	-0.6349311019293964	0.0	-0.822389253647998	0.0	0.0	0.0	0.0	0.20210732021991523	0.0	0.0	0.0	0.0	0.0	0.9876093532119815	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7310284549519318	0.0	0.0	0.0	0.0	0.0	0.4155229666768328	0.9635605172466212	0.0492039179872846	0.8664599337235814	0.0	0.0
0.0	0.0	-0.9107708206865937	0.0	-0.2142046552617103	-0.5118711499962956	-0.2260342906229198	0.0	0.0	0.6441131451810236	0.0	0.0	0.0	0.8508159493469897	0.6300286384331748	0.0	0.0	0.13381338646568122	0.42213382275523	0.5568416386502801
-0.38043821114115417	-0.27581606223247945	0.0	-0.18752648844383657	0.0	0.0	0.0	-0.13984977174550295	0.0	0.0	-0.03921470621680001	0.24892704477904531	0.0	0.0	0.31438159211862243	0.6136712809771024	0.0	0.0	0.7242276801888768	0.0
