asnC	asnA	mioC	nac	mnmG	codA	gdhA	codB	purR	pyrC	hflD	purB	ubiX	speA	prs	purF	purC	purL	purE	glnB
0.0	0.0	-0.9998109489679337	0.0	-0.9825290106236935	0.0	-0.10848210100084543	0.3471723887166499	-0.33616170031018555	0.0	-0.4402325148694217	0.0	0.0	-0.4089647999498993	-0.6324818022549152	0.0	-0.1263686513993889	0.0	0.0	0.0
-0.14018626743927598	0.17734267188077765	0.0	0.0	0.0	-0.21013414245496442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7324267271906137	0.0	0.0	0.0
0.0	0.6197176920047959	0.0	0.0	-0.7119610898662359	-0.27326072417597225	0.0	0.0	-0.5295547132845968	0.0	0.0	-0.620214196620509	-0.8641334094572812	0.0	-0.27853038697503507	0.0	0.0	-0.10949643049389124	0.0	-0.5993122153449804
-0.08418937330134213	0.0	0.0	0.0	0.0	0.48052849163835	0.0	0.7126492070062577	0.0	0.0	0.0	0.0	-0.8307192220818251	0.0	-0.36013411823660135	0.0	0.0	0.0	0.0	0.0
-0.7609148568008095	0.0	-0.7266879638191313	0.0	0.0	0.0	0.0	0.005457332733136288	-0.526653068838641	0.0	0.0	-0.17907981318421662	0.0	0.0	0.0	0.0	0.0	-0.25392070901580155	0.0	0.0
-0.17066279938444495	0.0	-0.5928305529523641	0.0	-0.5234132795594633	0.0	0.0	0.0	0.0	0.0	0.0	-0.762354637729004	0.0	-0.9701533631887287	0.0	0.0	0.0	0.0	0.0	-0.09589596441946924
-0.023830802412703633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.26072551333345473	0.0	0.0	-0.6924837145488709	0.0	0.0	0.0	0.0	-0.5519738697912544	-0.4590249627362937	-0.13748839357867837	0.0
-0.16548614273779094	0.0	0.0	-0.9013071320950985	0.0	0.3726589643356676	0.0	0.9635189041989415	-0.15912879211828113	-0.5863513853400946	-0.48463016794994473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5068613204639405
0.0	0.5635701550434341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.32091909274458885	0.0	0.0	0.0	-0.4042355683632195	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.041962223360314965	0.0	0.0	0.0	-0.2899895505979657	0.0	-0.3815540501382202	-0.4552272576838732	-0.5150028099305928	-0.7546064562629908	-0.06842378247529268	0.0
