recA	lexA	ruvA	dinD	insK	yafO	hokE	murF	rpoD	ybfE	lpxC	yebG	yafP	rpsU	sulA	dinI	recX	dinQ	dinB	murG	uvrD	dnaG	uvrY	cho	umuC	symE	polB	murD	murE	mraY	phr	recN	yafQ	dinF	ruvB	dinG	tisB	ftsK	uvrB	yafN	ftsI	dinJ	uvrC	ftsL	ydjM	umuD	murC	ftsW	ddlB	uvrA
-0.0648486977443099	0.0	0.0	0.0	0.0	-0.07014595926739275	0.0	0.0	0.0	-0.8010405963286757	-0.45518114417791367	0.0	-0.44409580854699016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7583773273508996	-0.7778828497976065	0.0	0.0	-0.11753837391734123	0.0	-0.31563387415371835	0.0	0.0	0.0	0.0	-0.35067419963888824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.06934433127753437	0.0	0.0	0.0	-0.4017735568340868	-0.6183568174019456	0.0	-0.42794060544110835	-0.30592019273899496
0.0	0.0	0.0	-0.6376708790194243	0.0	0.0	-0.557417526608333	-0.2585568483918905	0.0	-0.7419164283201098	0.0	0.0	0.0	0.0	0.0	-0.5861840709112585	0.0	0.0	-0.7553637814708054	0.0	0.0	-0.22145483689382672	0.0	0.0	-0.04513591271825135	-0.6211391417309642	0.0	0.0	0.0	-0.2201476227492094	-0.36295229685492814	-0.6902000547852367	0.0	0.0	-0.5934440190903842	-0.5344132392201573	0.0	0.0	0.0	-0.4062020203564316	-0.5526881639380008	0.0	-0.6547158756293356	-0.19415745558217168	0.0	0.0	0.0	0.0	0.0	-0.005659282673150301
0.0	-0.5801020390354097	-0.41292136209085584	-0.35645819385536015	-0.8913942123763263	0.0	0.0	0.0	-0.5774777354672551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.630521782906726	-0.48454426298849285	0.0	-0.28264034097082913	0.0	-0.7039144770242274	0.0	0.0	0.0	0.0	-0.4165277676656842	0.0	0.0	0.0	-0.6348822643049061	0.0	-0.20000686263665557	0.0	0.0	0.0	0.0	-0.6702254074625671	0.0	0.0	-0.19464446208439767	-0.4774174408521503	-0.6867470871657133	0.0	-0.1450391560792923	0.0	0.0	0.0	-0.5852857884019613
0.0	0.0	0.0	-0.5361930618528277	-0.7670811989810318	0.0	0.0	-0.36944870138540864	0.0	0.0	0.0	-0.8607959800865501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.9401057676877826	-0.8999039698392153	0.0	0.0	0.0	-0.6087372682522982	0.0	-0.47113065072335303	0.0	-0.39248396921902895	-0.9269378827884793	0.0	0.0	0.0	-0.4174945035483688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1907065361738205	-0.9685549566056579	0.0	0.0	0.0	0.0	-0.38620308018289506	0.0
0.0	0.0	-0.333973839180544	0.0	-0.07493346044793725	-0.3936122404411435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.37644271296449006	0.0	-0.5637110034003854	0.0	0.0	0.0	0.0	0.0	0.0	-0.21147375786677003	0.0	0.0	-0.4142755614593625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6375194969587028	0.0	-0.3585601137019694	0.0	-0.24770528334192932	0.0	-0.34329114900901914	-0.3072717620525509	0.0	-0.6094698794186115	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.30327461543492973	-0.581565449712798	0.0	-0.5552431619726121	0.0	0.0	0.0	0.0	-0.21211559372022748	-0.6668143356218934	0.0	0.0	-0.8654216167051345	0.0	-0.03150001936592162	0.0	0.0	-0.1695967148989439	0.0	-0.6820249278098345	-0.9002185340505093	0.0	-0.5542251747101545	0.0	-0.1005232383031398	-0.2902797870337963	-0.2927440090570599	0.0	-0.06709777563810349	0.0	-0.6002940742764622	0.0	0.0	0.0	0.0	0.0	-0.757549510570243	-0.24519403232261539	0.0	0.0	0.0	-0.764175841351971	0.0	-0.8761748850811273	0.0	0.0	0.0	-0.7053100941702724	0.0	0.0
0.0	0.0	-0.19487900007516146	-0.9574106342624873	0.0	0.0	-0.8330939752049744	-0.97053078468889	-0.917756857117638	0.0	0.0	-0.9060379376169294	0.0	0.0	0.0	0.0	0.0	-0.00952462898567319	0.0	0.0	0.0	0.0	0.0	-0.02354665705934167	0.0	0.0	0.0	0.0	0.0	0.0	-0.8419819711707532	0.0	0.0	0.0	0.0	-0.17885047337040305	-0.2515104084741324	0.0	-0.08727443171665072	0.0	0.0	-0.207983159692958	0.0	-0.8660941133275628	0.0	0.0	0.0	-0.8382526584900916	0.0	0.0
0.0	0.0	-0.13842838979326189	-0.25513327424414456	-0.4066689314786345	0.0	0.0	-0.23049888270907104	0.0	0.0	-0.8025453076697886	0.0	-0.12670289119705558	0.0	-0.04864072450436652	0.0	0.0	0.0	0.0	0.0	-0.7994088281411678	0.0	-0.311232729582116	0.0	0.0	0.0	0.0	0.0	-0.8002057073172182	0.0	0.0	-0.5650799656286836	0.0	0.0	-0.5069666632916778	-0.49339618533849716	-0.20572848059237003	0.0	0.0	0.0	-0.41195233538746834	-0.4886785317212343	0.0	0.0	-0.9421856186818331	-0.09606118453666568	-0.6456650383770466	0.0	0.0	-0.2762829870916903
-0.6702254025731236	0.0	0.0	0.0	-0.805838274769485	0.0	-0.875509480247274	0.0	-0.7864850189071149	0.0	0.0	-0.7442050713580102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1022714925929904	0.0	-0.7097854304593056	0.0	-0.39038169104605913	0.0	0.0	-0.9103265285957605	0.0	0.0	0.0	0.0	-0.09466278157196939	0.0	0.0	-0.7038391185924411	-0.2854633799288422	0.0	-0.19187530898489058	0.0	0.0	-0.9376119722146541	0.0	0.0	0.0	-0.47140191146172583	0.0
0.0	-0.9898860666435212	0.0	0.0	0.0	-0.26439594966359437	-0.9635322620160878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.08666840265505016	-0.8800290653016418	0.0	-0.40463182236999273	0.0	0.0	0.0	0.0	-0.6183653704356402	-0.028322492726147175	-0.8510075658559799	0.0	0.0	0.0	0.0	-0.7221269391011447	0.0	0.0	0.0	-0.9825798564124852	-0.7928033482749015	0.0	-0.6159231949131936	0.0	0.0	-0.40003466978669167	-0.34715364687144756	0.0	0.0	-0.19513036729767919	0.0	0.0	0.0	0.0	0.0	-0.6502884933724999
