fadJ	fadR	fadE	fabA	fabR	fabB	fadI	uspA	fadA	arcA	fadD	fadB	fadL	ydeA	puuR	puuD	rpsS	uvrA	hybB	rpsJ	hybC	lldD	lldR	lldP	hybG	betT	betI	betB	betA	ybdN	hybD	appA	iraM	appB	appY	yccB	appC	hyaD	hyaC	hyaF	iscR	hyaA	hyaE	narL	hyaB	narP	napB	napA	napG	napH
0.0	0.0	0.0	-0.7690845478791744	-0.901140121743083	0.39507705586828584	-0.7626533787697554	-0.1868258707690984	0.0	0.0	0.0	-0.16090479888953269	-0.6273823319934309	0.0	0.0	-0.8736866230610758	-0.8543503009714186	0.0	0.0	0.0	-0.9340385706163943	-0.9940531509928405	0.0	0.0	0.0	0.0	-0.7070334940217435	-0.5929036512970924	-0.26793197449296713	0.0	0.0	0.0	0.0	0.07491881808257059	0.0	0.0	0.659312803788709	0.0	-0.08317446815416374	0.15505040835727424	0.0	0.3964797644051494	0.10406519185850671	0.0	-0.07721865992536969	0.0	0.0	0.0	0.0	0.0
0.0	0.0	-0.8306744024157524	0.0	0.0	0.0	0.0	-0.0987645941786468	-0.8400678297039121	-0.9277003684546798	0.0	0.0	-0.3277908801101148	0.0	0.0	0.0	0.0	0.0	-0.853989161318168	-0.9098201198503375	0.0	-0.7262414845172316	-0.6414935397915542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8151449860352125	0.0	0.0	0.0	0.0	0.0	0.0	-0.005589777138084173	0.0	0.0	-0.2915438904892653	0.4214939519249814	0.0	0.0	0.0	0.0	-0.055461585288867354
0.0	-0.5856108523439616	0.0	-0.8982187234796584	0.0	0.0	-0.15407890384085476	0.0	0.0	0.0	0.0	-0.5475855791009963	0.0	-0.4824928732123226	-0.3099601031281054	0.0	0.0	-0.8999173936899751	0.0	0.0	0.0	0.0	-0.25875447574071586	-0.5610981155186892	0.0	-0.10661774314939976	0.0	-0.8791294123511761	-0.10491552203893661	0.0	-0.06503334152512252	0.5770054106625112	0.0	0.0	0.0	0.0	0.0	-0.012337143689904295	0.0	-0.05914507756802767	-0.0036479001864790916	0.05904267277705988	-0.290331532553711	-0.15729111758992076	0.0	0.0	0.0	0.0	-0.04781503858976066	-0.40354528720490634
0.0	0.0	-0.2684859046712518	0.0	-0.7461857101880014	0.24136476133816237	0.0	0.0	0.0	-0.33338923868723214	-0.45640945085324347	0.0	0.0	0.0	0.0	0.0	-0.6972124048043042	0.0	0.0	0.0	-0.7138468490447849	-0.4715680740773678	0.0	0.0	0.0	0.0	0.0	0.0	-0.6228582181502134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.21700259973295033
-0.5473053667228669	0.0	0.0	0.0	0.0	0.0	-0.9044663263484836	-0.673832033528015	0.0	0.0	-0.3820250453427434	0.0	0.0	-0.9654355405364186	-0.9803956404794008	0.0	0.0	0.0	-0.08157965494319797	0.0	0.0	-0.42981178197078407	0.0	-0.8221190674230456	0.0	-0.8258690151851624	-0.9206668129190803	0.0	0.0	0.5160768881426272	-0.22524729860015213	0.0	0.0	0.0	0.0	0.0	0.12554077480606973	0.0	0.0	0.18178548550371498	0.0	-0.09493354879182259	-0.39471991996181854	-0.964215169660747	0.0	0.0	0.0	0.0	0.0	-0.8024580543860793
0.0	-0.7527573497500271	0.0	-0.7556653250940144	0.0	0.0	0.0	0.0	0.0	-0.9783754197414964	0.0	0.0	0.0	0.0	-0.7510262948926538	-0.3685831814073026	0.0	0.0	-0.7759055430069566	-0.7271146036218852	-0.14234463078901172	0.0	0.0	-0.02596417535096407	0.0	0.0	-0.8942330395802855	-0.15555145870894194	0.0	0.8873199913171199	-0.30842111026868224	0.0658602354606929	0.0	0.0	0.0	0.0	0.0	0.0	-0.5435072599408046	0.0	-0.036661552265286446	0.045782750389981475	0.0	0.0	0.0	0.0	0.0	0.0	-0.3446198112796992	0.0
0.0	-0.32587320054881275	-0.6843985244631767	0.0	0.0	0.0	0.0	0.0	0.0	-0.9683689307421446	-0.5174706655088812	0.0	0.0	0.0	-0.6134021477773786	0.0	0.0	-0.7530071490909904	-0.017856583697721362	-0.4493417034391314	0.0	-0.41859549609944224	-0.24239185149781406	0.0	0.0	0.0	0.0	0.0	-0.6975335862953216	0.0	0.0	0.810732680468479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2985099120172443	-0.15971497756330022	0.0	0.0	0.0	0.0	0.0	0.0	-0.3859638029243797
0.0	0.0	0.0	-0.9873389648273587	0.0	0.0	0.0	0.0	-0.8721207107882947	-0.9869875102303922	0.0	-0.2828030826058239	-0.937558815581724	0.0	0.0	-0.43743368494324386	0.0	-0.3575081506278366	-0.11020062188617885	0.0	0.0	-0.6451007663272321	0.0	0.0	-0.5588969353120774	0.0	-0.13982912455685437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18548035558102874	0.0	0.0	-0.273998844806181	-0.02620608962002724	0.0	0.0	0.24637270921008936	0.0	0.0	-0.7013325798325241	0.0	0.0	0.0	-0.647921287920326
-0.3303894477430731	-0.061471836641430855	-0.5289464213419706	0.0	0.0	0.0	0.0	0.0	0.0	-0.6140512314159423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6030813027173281	0.0	-0.5120629156008363	0.0	0.0	0.0	-0.286093303700909	0.0	-0.325032499153167	0.0	0.0	0.6099375998121765	0.0	0.0	0.8634731836637726	0.0	0.0	0.0	0.0	0.0	-0.0773706046362237	0.0	-0.4170207704883069	0.0	0.0	0.0	0.0	0.0	-0.1711539749521762	-0.35070568043738604	0.0	0.0
0.0	-0.794684277381748	-0.21364024048671126	-0.12087137484923005	0.0	0.0	0.0	0.0	0.0	0.0	-0.8721085428260267	0.0	0.0	0.0	0.0	-0.4394028235692531	-0.9696511051151901	0.0	0.0	0.0	-0.21173258614726365	0.0	-0.8136503584682941	-0.3980635718908161	-0.11931463330984116	0.0	-0.41126949223689735	0.0	0.0	0.0	-0.2870992161333561	0.2951530281944516	0.0	0.0	0.0	0.8836427273394003	0.008013329027819024	0.22179874552549056	-0.034585896782653114	0.0	-0.04237479530274868	0.0	0.0	0.0	0.0	-0.6275649820454419	0.0	-0.7041414259001613	0.0	0.0
