tyrB	tyrR	aroF	tyrA	aroP
0.0	0.0	0.0	0.0	-0.8862466206774116
-0.3030992529820651	0.0	0.0	0.0	-0.916226526722312
-0.1642543412744999	0.0	0.0	0.0	0.0
0.0	-0.6389265430625528	0.0	0.0	0.0
0.0	0.0	-0.12025198247283697	-0.11537106754258275	0.0
0.0	-0.8422138164751232	-0.8963019428774714	-0.8782355824951082	-0.7138084264006466
0.0	-0.4800788788124919	0.0	0.0	0.0
0.0	0.0	0.0	-0.560467783594504	-0.9218697198666632
-0.8520638323388994	0.0	-0.32455499144271016	0.0	0.0
0.0	0.0	0.0	-0.6021956882905215	-0.23220629757270217
