deoR	tsx	nupG	cytR	deoC
0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	-0.32104671001434326	0.0
0.0	-0.08457727124914527	-0.050988115603104234	-0.609985797200352	0.0
-0.9756611450575292	0.0	-0.8384690622333437	-0.47706658113747835	0.0
0.0	0.0	0.0	-0.495495273033157	0.0
0.0	-0.42567574535496533	-0.4820499545894563	-0.23878181353211403	0.0
0.0	-0.6772266230545938	0.0	0.0	0.0
0.0	0.0	-0.31023344537243247	-0.05629771435633302	0.0
0.0	0.0	-0.3662545003462583	0.0	-0.8765970189124346
0.0	-0.6347072166390717	0.0	0.0	-0.987877314677462
